Produksi Hasil Tangkap Laut,Tongkol
1/1/2017,46.12
2/1/2017,46.23
3/1/2017,45.53
4/1/2017,45.21
5/1/2017,46.32
6/1/2017,46.65
7/1/2017,45.71
8/1/2017,46.23
9/1/2017,46.44
10/1/2017,46.32
11/1/2017,47.2
12/1/2017,48.61
1/1/2018,30.92
2/1/2018,30.86
3/1/2018,31
4/1/2018,30.74
5/1/2018,30.95
6/1/2018,31.5
7/1/2018,30.45
8/1/2018,30.57
9/1/2018,30.4
10/1/2018,32
11/1/2018,30.82
12/1/2018,30.93
1/1/2019,15.32
2/1/2019,15.48
3/1/2019,16.07
4/1/2019,16.49
5/1/2019,15.92
6/1/2019,16.47
7/1/2019,16.55
8/1/2019,17.18
9/1/2019,17.49
10/1/2019,16.84
11/1/2019,16.67
12/1/2019,16.06
1/1/2020,6.75
2/1/2020,7.7
3/1/2020,7.66
4/1/2020,7.81
5/1/2020,8
6/1/2020,7.77
7/1/2020,7.6
8/1/2020,7.64
9/1/2020,7.81
10/1/2020,7.79
11/1/2020,8.2
12/1/2020,8.33
